club_name,club_address,club_id,club_status
"Mirth, Marvel & Maud","186 Hoe St, Walthamstow, E17 4QH",119698,open
Moonraker Nightclub,"270 station road, westcliff on sea, essex, ss00 7sd, UK",182587,open
Mordens,"7-9 Montpelier Vale, Blackheath",127729,open
Moth Club,"Valette Street, Hackney, E9 6NU",108083,open
Moustache Bar,58 Stoke Newington Road; Dalston; N16 7XB,13071,open
Mr Fox,"34 Surrey St, Croydon CR0 1RJ",176985,open
Museum of London Docklands,"No.1 Warehouse, West India Quay, E14 4AL",175068,open
MV Pearl of London,"Westminster Pier, Victoria Embankment, Westminster, SW1A 2JN",153594,open
The National Gallery,"Trafalgar Square, Charing Cross, WC2N 5DN",182859,open
National Portrait Gallery,"St. Martin's Pl, WC2H 0HE",66569,open
Near and Far,"Level 6, Peckham Levels, 95A Rye Lane, Peckham, SE15 4ST",143743,open
Near and Far Camden,"48 Chalk Farm Rd, NW1 8AJ",166712,open
Neon Bar @ Royal Lounge Banqueting Suite,"397 High Road, Wembley, HA9 6AA",180631,open
New Cross Inn,323 New Cross Road; New Cross; SE14 6AS,28145,open
New River Studios,"199 Eade Road, N4 1DN",108265,open
Night Tales,"14 Bohemia Pl, E8 1DU",155586,open
Ninety One,91 Brick Lane E1 6QL,143620,open
Nomad London,58 Old Street; Hoxton; EC1V 9AJ,33667,open
Nordic Bar,"25 Newman St, Fitzrovia, W1T 1PN",176636,open
Northcote Records,"8-10 Northcote Rd, SW11 1NT, UK",139424,open
Notting Hill Arts Club,21 Notting Hill Gate; Notting Hill; W11 3JQ,8295,open
NT's,"1 Westgate Street, E8 3RL",115524,open
Number 10 London,"Arch 376, 10 Helmsley Pl, E8 3SB",175779,open
Number 177 Bar,"177 Hoxton Street, N1 6PJ",127613,open
Number 90,90 Main Yard; Wallis Road; E9 5LN,72207,open
"Numidie bar,","48 Westow Hill, SE19 1RX",118801,open
Nyne Lounge,"267 Broadway, Bexleyheath, DA6 6DB",59573,open
O2 Academy Brixton,211 Stockwell Road; Stockwell; SW9 9SL,584,open
O2 Academy Islington,N1 Centre; 16 Parkfield Street; Angel; N1 0PS,2411,open
o2 Forum Kentish Town,9 Highgate Road; Kentish Town; NW5 1JY,5456,open
Off The Cuff,"Arch 645, 301-303 Railton Rd, Herne Hill SE24 0JN",108134,open
The Old Baths,"80 Eastway, E9 5JH",152771,open
The Old Blue Last,39 Great Eastern Road; Shoreditch; EC2A 3ES,2395,open
The Old Church,"Stoke Newington Church St, N16 9ES, UK",136198,open
The Old Queens Head,44 Essex Road; Islington; N1 8LN,4368,open
Old Street Records,"350-354 Old Street, EC1V 9NQ",121451,open
Omeara,"6 O'Meara Street, SE1 1TE",124422,open
One Marylebone,"1 Marylebone Road, NW1 4AQ",176347,open
One50,"150 Brick Lane, E16QL",182408,open
Ora Brewing,"Unit 16a, Rosebery Industrial Park, N17 9SR",184902,open
Orange Yard,"Orange Yard, Manette Street, Soho, W1D 4JB, UK",176870,open
Ormside Projects,"32 Ormside St, SE15 1TR, UK",108196,open
Oslo Hackney,"1a Amhurst Road, Hackney, E8 1LL",87489,open
Out Out Bar Hornchurch,"44 High Street, Hornchurch RM12 4UN",178218,open
Oval Space,29-32 The Oval; Bethnal Green; E2 9DT,60356,open
Pandora’s Wine Bar,"44 High Street Hornchurch, Barking And Dagenham",172449,open
Paper Dress Vintage,"352A Mare Street, Hackney E8 1HR",111054,open
Paradise 65 Warehouse,"65 Albert Embankment, Vauxhall, SE1 7TP",173996,open
Parlay E18,"18 High Rd, South Woodford E18 2QL",177787,open
Partizan Brewing,"34 Raymouth Rd, Bermondsey, SE16 2DB",175401,open
Pear Tree Cafe,"Lakeside Cafe Battersea Park, SW11 4NJ",184462,open
Peckham Audio,"133a Rye Lane, Peckham, SE15 4BQ",175287,open
Peckham Gallery,"Level 5 Peckham Town Centre Car Park, 95a Rye Lane, Peckham, SE15 4ST",173407,open
Peckham Levels,"Peckham Levels, Peckham Town Centre Carpark, 95A Rye Ln, SE15 4ST",173237,open
Peckham Rye Park,"Straker''s Rd, SE15 3UA",143848,open
Peckham Springs,"213 Blenheim Grove, SE15 4QL",104340,open
Perch N16,"129 Stoke Newington High St, Stoke Newington, N16 0PH",181872,open
Phase,"12-20 Crown Hill, Croydon CR0 1RZ",177521,open
Phoenix Bar,37 Cavendish Square; Oxford Circus; W1G 0PP,16141,open
The Phoenix,"37 Cavendish Square, Marylebone, W1G 0PP, UK",150376,open
Phonox,418 Brixton Road Brixton SW9 7AY,106730,open
Piccadilly Institute,The Pavillion; Piccadilly; W1V 9LA,47278,open
The Pickle Factory,"13-14 The Oval, E2 9DU",95767,open
The Pinner Arms,"Pinner Arms, Whittington Way, Pinner, HA5 5JS",181673,open
Pitch Stratford,"Bridge Rd, E15 3PA, UK",148994,open
Pizza East,"56 Shoreditch High St, Hackney, E1 6JJ",179564,open
Pizza Express Live Holborn,"99 High Holborn, WC1V 6LF",177467,open
The Place,"17 Duke's Rd, Kings Cross, WC1H 9PY",87571,open
Playa,"50 Baker St, Marylebone, W1U 7BT",178340,open
Playground Cocktail Bar,"63 South End, Croydon, Surrey CR01BF",169000,open
Plough and Harrow,"419 High Rd, Leytonstone, E11 4JU, UK",154127,open
The Plough E9,"The Plough 23-25 Homerton High St, Homerton, E9 6JP",178854,open
Pong London,"156 Pentonville Rd, N1 9JL",175830,open
Pop Brixton,"49 Brixton Station Road, SW9 8PQ",108061,open
Poplar Union,"2 Cotall St, Poplar, E14 6TL, UK",152496,open
The Post Bar Tottenham,"316 High Road, Tottenham, N15 4BP",169317,open
Poster,"182 Stoke Newington Rd, Hackney Downs, N16 7UY",180289,open
The Prince Albert,418 Coldharbour Lane,107422,open
Prince of Peckham,"1 Clayton Rd, Peckham, SE15 5JA",136808,open
The Prince of Wales,467 Brixton Road; ; SW9 8HH,65362,open
Printworks,"1 Surrey Quays Road, SE16 7PJ",127337,open
The Priory Pub,"The Priory, 169 Priory Road, N8 8NB",182214,open
Prive Lounge,"Westmoreland place. Bromley, Kent BR1 1DS",178072,open
Project B,"1 Bell Hill, Croydon, CR0 1FB",102964,open
Protocol,6 South Lambeth Place Vauxhall,61713,open
Proud Cabaret,"1 Mark Lane, EC3R 7AH, UK",70277,open
Proud Embankment,8 Victoria Embankment WC2R 2AB,147890,open
Pryzm Kingston,154 Clarence Street Kingston Upon Thames KT1 1QP,171112,open
Pryzm Watford,"127 The Parade, Watford, WD17 1NA",175084,open
Purcell Room,"Southbank Centre, Belvedere Rd, SE1 8XX",147312,open
Putney Pies & Vaults,"2 Putney High Street, SW15 1SL",125118,open
Q Shoreditch,55-61 Tabernacle Street EC2A 4AA,182797,open
Queen Elizabeth Hall,"Southbank Centre, Belvedere Rd, SE1 8XX",10469,open
Queen Elizabeth Olympic Park," E20 2ST, UK",76797,open
Queen Of Hoxton,1-5 Curtain Road; Hoxton; EC2A 3JX,4552,open
Queen Of Hoxton Rooftop Terrace,1-5 Curtain Road; Hoxton; EC2A 3JX,16833,open
Queen's Ice & Bowl,"17 Queensway, W2 4QP",113225,open
Radicals & Victuallers,59 Upper Street N1 0NY,99979,open
Raffles Chelsea,"287 King's Rd, Chelsea, SW3 5EW, UK",37947,open
The Raven,"218 Tower Bridge Rd, SE1 2UP",174580,open
Red Bar & Restaurant,105 Queens Rd KT13 9UJ Weybridge,181939,open
Red Dog Saloon,"37 Hoxton Square, N1 6NN",185213,open
The Red Rooms,4 Great Queen Street; Holborn; WC2B 5DG,8470,open
Redon,"Arch 289, Cambridge Heath Road, E2 9HA, UK",155790,open
The Refreshment Room,"27 Broadway, E15 4BQ",118044,open
The Regal Sports Centre,"Beaufoy Walk, Lambeth, SE11 6AA",173039,open
Revolution,"1 America Square, EC3N 2LS",43309,open
Revolution,"140-144 Leadenhall Street, EC3V 4QT. (Near Bank Tube Station)",62223,open
Rich Mix,35-47 Bethnal Green Road; Bethnal Green; E1 6LA,7583,open
Rio Cinema,"107 Kingsland High St, E8 2PB, UK",135605,open
The Riverside,"The Quayside, Woodbridge, Suffolk IP12 1BH",117603,open
Roadhouse,"Jubilee Market, Covent Garden, 35 The Piazza, WC2E 8BE",140550,open
Roadtrip,243 Old Street; Shoreditch; EC1V 9EY,16031,open
The Rocksteady,"574 Kingsland Rd, E8 4AP",135119,open
Roller Nation,"117 Bruce Grove, N17 6UR",163967,open
Rolling Stock,"48 Kingsland Road, Shoreditch E2 8AA",62885,open
Ronnie Scott's Bar,47 Frith Street; Soho; W1D 4HT,36604,open
Rotate Shoreditch,"1 Bath Place, Rivington street, Shoreditch, EC2A 3DA",162614,open
The Round Chapel,1D Glenarm Road ; E5 0LY,99402,open
The Roundhouse,Chalk Farm Road; Camden Town; NW1 8EH,7487,open
The Roxy,3 Rathbone Place; Fitzrovia; W1T 1HJ,41610,open
Royal Albert Hall,Kensington Gore; Knightsbridge; SW7 2AP,20371,open
Royal Festival Hall,"Southbank Centre, Belvedere Rd, SE1 8XX",75496,open
Royal Oak,"95 High St, NW10 4TS",150410,open
Ruby Blue,1 Leicester Place; Leicester Square; WC2H 7BP,10856,open
Rubys Bar,"72-74 Stoke Newington Road, N16 7XB",112925,open
The Rufus Centre,"Steppingley Rd, Flitwick, Bedford MK45 1AH",182039,open
Rushmoor Arena,"Rushmoor Rd, Aldershot GU11 1PZ",178348,open
Rye Wax,"Bussey Building/CLF Art Cafe Basement, 133 rye lane, SE15 4ST",95943,open
Sadler's Wells,"Rosebery Avenue, EC1R 4TN",182545,open
The Sanctum Hotel,"The Sanctum Hotel, 20 Warwick Street, W1B 5NF",94532,open
Saw Swee Hock,"1 Sheffield Street, Holborn, WC2A 2AP",99144,open
The Scala,275 Pentonville Road; King´s Cross; N1 9NL,3321,open
Scandal,"78 Wells Street, Fitzrovia, W1T 3QL",144900,open
Sebright Arms,34 Coate Street; Bethnal Green; E2 9AG,7985,open
Second Home,"69 Hanbury Street, E1 5JL",108861,open
Secret Sky Bar - London,,179739,open
Secrets Covent Garden,"51 Parker St, Holborn, WC2B 5PS",177047,open
Servant Jazz Quarters,"10a Bradbury Street Dalston, N16 8JH",46126,open
SET,"27a Dalston Lane, E8 3DF",147746,open
The Seveney N1,382 Essex Road; Islington; N1 3PF,182914,open
Shaka Zulu,The Stables Market; Camden Town; NW1 8AH,46639,open
Shooshh Croydon,"12-20 Crown Hill, Croydon, CR0 1RZ",83838,open
Shoreditch Platform,"1 Kingsland Rd, Shoreditch, E2 8AA",124651,open
Shoreditch Town Hall,380 Old Street; Shoreditch; EC1V 9LT,25235,open
Signature Brew Taproom & Venue,"340 Acton Mews, E8 4EA",176977,open
Silk Club,"7 Pratt Street, Camden, NW1 0AE",77172,open
The Silver Building,"Dock Road, E16 2AB",139930,open
Simmons Bar,"7-9 Kentish Town Rd, Camden Town, NW1 8NH",180596,open
Simmons Bar - Oxford Circus,"203 Wardour St, Soho, W1F 8ZH",175423,open
Simulacra Studio,"302-304 Barrington Rd, SW9 7JJ",86028,open
Sink,EC2A 4JH,125920,open
Sister Midnight Records,"4 Tanner's Hill, SE8 4PJ",158891,open
Site 5,"Chigwell Hill, E1W 2BU",184519,open
"The Snug, St Albans","1 French Row St Albans, AL3 5DU",176130,open
The Social,5 Little Portland Street; Fitzrovia; W1W 7JD,4704,open
The Social,"Unit 9A&B, Copeland Park, 133 Copeland Road",161405,open
Sofia's,"588 Kingsland Road, Dalston, E8 4AH",168823,open
Soho Residence,83-85 Wardour Street W1D 6QE,176926,open
Somerset House,"Strand, WC2R 1LA",5383,open
Sounds Of The Universe,"7 Broadwick Street, Soho, W1F0DA",76087,open
Sounds Studio at The Standard,"10 Argyle Street, WC1H 8EG",172056,open
South Place Hotel,"3 South Place, EC2M 2AF",71240,open
Southbank Centre,Belvedere Road; Southwark; SE1 8XX,19738,open
Space 289,"Railway Arch, 289 Cambridge Heath Rd, E2 9HA",177013,open
The Speakeasy,"9 Dalston Lane, E8 3DH",142384,open
Spice Of Life,"6 Moor Street, Cambridge Circus, W1D 5NA",33871,open
Spiritland,"9-10 Stable Street, N1C 4AB",122378,open
Spiritland Royal Festival Hall,"Belvedere Rd, Lambeth, SE1 8XX",172851,open
The Spotlight - Broxbourne,"High St, Hoddesdon EN11 8BE",159685,open
"The SSE Arena, Wembley","Arena Square, Engineers Way, Wembley Park, Wembley, HA9 0AA, England",153946,open
St Mary's Music Hall,Church End Walthamstow E17 9RL,161605,open
St Pancras Old Church,Euston Road; ; NW1 2BA,43966,open
St Paul's Church,"Bedford Street, Covent Garden, WC2E 9ED",85674,open
St. Moritz Club,159 Wardour Street; W1F 8WH,90327,open
Stags Head,"55 Orsman Road, Hoxton, N1 5RA",46566,open
Stanley Halls,"12 South Norwood Hill, SE25 6AB",182565,open
The Star By Hackney Downs,"35 Queensdown Rd, Hackney Downs, E5 8JQ",77794,open
The Star Of Kings,126 York Way; Kings Cross; N1 0AX,38109,open
Starlane Pizza Bar,"12 Cody Road, E16 4SR",151483,open
The Steamroom,230 Kingsland Road E2 8AX,178420,open
The Steel Yard,"13-16 Allhallows Lane, EC4R 3UL",100941,open
The Storm,"36a Stoke Newington Road, Dalston",182938,open
Stour Space,7 Roach Road; Stratford; E3 2PA,36854,open
The Stratford,"20 International Way, Queen Elizabeth Olympic Park, E20 1FD",177560,open
The Stretch,"Lewisham Way, New Cross, SE14 6NW",69441,open
Studio 338,338 Boord Street; Greenwich; SE10 0PF,74592,open
Studio 88,"47 Whitcomb Street, WC2H 7DH",153300,open
Studio 9294,"92 Wallis Road, E9 5LN",152006,open
Studio Z,"Orphans Yard, 537 Brixton Station Road, Brixton, SW9 8QB",179036,open
Subterania,"12 Acklam Rd, W10 5QS",179645,open
Sugar Hut,"93-95 High Street, Brentwood, UK",9180,open
Supercute,"Unit 74, Brixton Village, SW9 8PR",170212,open
Supermax,"14 Handyside St, King's Cross, N1C 4DN",163629,open
Sutton United Football Club,"The Borough Sports Ground, Gander Green Ln, Sutton SM1 2EY",176612,open
Sweet Chick,"8 Market Place, Fitzrovia, W1W 8AG",179594,open
Sylvester Dulwich,"52 Lordship Lane, , SE22 8HJ",176090,open
Take 5 Cafe Bristol,"72 Stokes Croft, Bristol BS1 3QY",144144,open
Tamesis Boat Dock,"Albert Embankment, SE1 7TP",52244,open
Tape London,Tape Hanover Square W1S 1HU,110446,open
Tasty Bakery,"207 Rye Lane, Peckham, SE15 4TP",92022,open
Tate Modern,Bankside; Southwark; SE1 9TG,3875,open
The Brixton Courtyard,"261 Brixton Road, Brixton SW9 6LH",183928,open
The Dutch Master,"Tower Millennium Pier, Lower Thames St, EC3N 4DT",132696,open
The Glove That Fits,"179 Morning Lane, Hackney, E96LH",147611,open
"The Library Lounge at The Standard, London","10 Argyle St, Kings Cross, WC1H 8EG",176785,open
The Lighthouse,"62-68 Rivington Street, Shoreditch, EC2A 3AY	",132928,open
The Paperworks,12 Ossory Road. SE1 5AN,94796,open
The Trading House,"89-91 Gresham St, EC2V 7NQ",134676,open
The Victoria Dalston,"451 Queensbridge Rd, E8 3AS, UK",131097,open
The91club,91 Kingsland High Street; Dalston; E8 2PB,164848,open
Three Mills Island,"Three Mills Island, E3 3DU",132956,open
The Tiger E9,"245 Wick Road, E9 5DG",148042,open
Tiger Tiger London,"29 The Haymarket, SW1Y 4SP",88455,open
Time Nightclub,"1-4 Southend Road, Beckenham BR3 1SD",181221,open
Tipsy,"20 Stoke Newington Road, N16 7XN",65504,open
Tobacco Dock,50 Porters Walk; ; E1W 2SF,83715,open
Tola,56 Peckham High Street SE15 5DP,144451,open
Tonteria,"7-12 Sloane Square, SW1W 8EG",167440,open
Tooting Tram And Social,46-48 Mitcham Road; Tooting; SW17 9NA,33911,open
Topolski,"Hungerford Arches, 150-152 Concert Hall Approach, Lambeth, SE1 8XU, UK",97902,open
Tottenham Brewing co.,"6 Tariff Road, Tottenham, N17 0EB",175770,open
Trafalgar Square,Trafalgar Square; Westminster; WC2N 5DN,6205,open
Trafik,331 Old St; Hoxton; EC1 9LE,790,open
Tramp,"40 Jermyn St, St. James's, SW1Y 6DN",124384,open
Tramshed,"41 Woolwich New Road, SE18 6ES",182482,open
Trapeze Basement,"89 Great Eastern Street, EC2A 3HX",104554,open
Trattoria Da Luigi,"Basement, 98-100 Stoke Newington Church Street, N16 0AP",77699,open
Trent Country Park,"Trent Country Park, EN4 0PS",55965,open
Triangle Club,"252 High St, Harlesden, NW10 4TD",178869,open
Trinity Bar,"378-380 Station Rd Harrow, Middlesex HA1 2DE",75608,open
Tropicana Beach Club,"Parker Street, WC2B 5PW",148136,open
Troubadour,263 Old Brompton Road; SW5 9JA,29862,open
Troxy,"490 Commercial Road, E1 0HX",36623,open
Tuck Inn,"13 Bradbury St, Dalston, N16 8JN, UK",141490,open
Tudor Rose Night Club,"68 The Green, Southall, Middlesex, UB2 4BG",19013,open
U7,"2-4 Orsman Rd, Haggerston, N1 5FB",166939,open
The Underdog Art Gallery,Arch 6 Crucifix Lane; SE1 3JW,71664,open
The Underworld Camden,"174 Camden High Street, Camden Town, NW1 0NE",15981,open
Union Chapel,"Union Chapel, Compton Terrace, N1 2UN",129132,open
"Union Club, Vauxhall","66 Albert Embankment, Lambeth, SE1 7TW",170808,open
Unit 58,"Unit 58, Millmead Industrial Estate, Mill Mead Road, N17 9QU, UK",176598,open
Unit 7,Fountayne Road Tottenham N15 4QL,174976,open
Unit Nine Music Studios & Live Venue,"c, 9 Bridgeturn Ave, Wolverton, Milton Keynes MK12 5QL, UK",132139,open
Upper Norwood Library Hub,"39-41, Westow Hill, SE19 1TJ",176371,open
Upstairs At The Ritzy,Brixton Oval; Coldharbour Lane; SW2 1JG,21358,open
Usain Bolt's Tracks,"94 Middlesex St Spitalfields, E1 7EZ",176531,open
The Vaults,"Arch 233, Leake Street, SE1 7NN",83577,open
V-Bar,"79 High Street, Croydon CR0 1QE",176729,open
Venn Street Records,"78 Vemm Street, Clapham, SW4 0BD",100601,open
Venue MOT Unit 18,"Orion Business Centre, Surrey Canal Rd SE14 5RT",156290,open
Venue MOT Unit 20,"Orion Business Centre, Surrey Canal Rd SE14 5RT",181164,open
The Venue Nightclub,"2a Clifton Rise, New Cross, SE14 6JP",141896,open
Vertigo Lounge,17-19 Station Road Hornchurch RM126JL,178038,open
VFD,66 Stoke Newington Road; Dalston; N16 7XB,33659,open
Victoria Park,Victoria Park Road; Homerton; E9 7,2052,open
The Victoria,"451 Queensbridge Road, E8 3AS",48882,open
The Victoria,"186 Hoe Street, Walthamstow, E17 4QH",126968,open
The Village Square,"177 Archway Road, Highgate N6 5BL",180561,open
Village Underground,54 Holywell Lane; Shoreditch; EC2A 3PQ,4567,open
Villages Taproom,"21-22 resolution way Deptford, SE8 4NT",182197,open
The Viper Rooms,Riverside Walk Kingston Upon Thames KT1 1QN,132546,open
Viva Dalston,"2 Stoke Newington Rd, N16 7XN",106749,open
Vout-O-Reenee's,"The Crypt, 30 Prescot St, E1 8BB",154842,open
VR5 Loft & Terrace,"200 York Way, N7 9AX",171939,open
W Hotel,"10 Wardour Street, Leicester Square, W1D 6QF",72313,open
The Waiting Room,175 Stoke Newington High Street; Stoke Newington; N16 0LH,61205,open
Wally Foster Centre,Homerton Road E9 5QB,181917,open
Walpole New Cross,"403 New Cross Road, SE14 6LA",158461,open
Waltham Forest Community Hub,"18A Orford Rd, Walthamstow, E17 9LN",172817,open
Water Rats,328 Grays Inn Road; Bloomsbury; WC1X 8BZ,9308,open
Watling Street Beer - Music & Arts Venue,"8, Triumph Trading Estate, Tariff Rd, Tottenham, N17 0EB",181604,open
The Wellington Members Club,"91 Jermyn St, St. James's, SW1Y 6JB",180156,open
Werkhaus,85 Brick Lane E1 6QL,174167,open
Westbank Gallery,"3-5 Thorpe Cl, W10 5XL",117079,open
Westminster Pier,"Westminster Pier, SW1A 2JH",102294,open
Whirled Art Cinema,"259 Hardess Street, SE24 0HN",77669,open
The White Hart - New Cross,"184 New Cross Rd, New Cross, SE14 5AA",128771,open
White Post,"92 White Post Lane, Hackney Wick E9 5EN",122861,open
Wild Card Brewery,"Unit 7, Ravenswood Industrial Estate, Shernhall Street, Walthamstow, E17 9HQ",115297,open
The Windmill,22 Blenheim Gardens; Brixton; SW2 5BZ,1334,open
Windrush Bar / Pequeño Restaurant & Bar,184 Stoke Newington High Street N16 7JD,150757,open
Winkers Nightclub,"Denham Lane, Chalfont St Peter, Bucks, SL90QH",104796,open
Winter Garden Angel,"Winter Garden, 428 St John Street, Angel, EC1V 4NJ",178867,open
Work Bar,"3 Chapel Market, N19EZ",110799,open
The Workshop,243 Old Street; Hoxton; EC1V 9EY,31622,open
XOYO,32-37 Cowper Street; Shoreditch; EC2A 4AP,33592,open
The Yard,"Queens Yard, Hackney Wick, E9 5L",83829,open
Zee Bar Maidstone,"60-61 High St, Maidstone ME14 1SR",135412,open
Zigfrid Von Underbelly,11 Hoxton Square; Hoxton; N1 6NU,19440,open
Zoo Bar & Club,"13-17 Bear Street, Leicester Square, WC2H 7AS",30669,open
104 Central-City,"104 City Rd, EC1V 2NR",68883,closed
12 Acklam Road,12 Acklam Road; North Kensington; W10 5QZ,9235,closed
12 Bar Club,26 Denmark Place; Soho; WC2H 8NL,1042,closed
18 - 22 Houndsditch,"18 Houndsditch, EC3A 7DB",63740,closed
20 Kensington,20 Kensington Church Street; Kensington; W8 4EP,10227,closed
22Below,22 Great Marlborough Street; Soho; W1F 7HU,2937,closed
25 Canonbury Lane,"25 Canonbury Lane, Islington, N1 2AS",14680,closed
267 Kingsland Road,267 Kingsland Road E2 8AD,76552,closed
2932 East,29-32 The Oval E2 9DY,62484,closed
3 Blind Mice,5 Ravey Street; Shoreditch; EC2 4WQ,5990,closed
The 3 Monkeys,"5 Fernlea Road, SW12 9RTA, UK",103663,closed
338 Boord Street,338 Boord Street; Greenwich; SE10 0PF,9287,closed
34 Croydon,"34 Surrey St, Croydon CR0 1RJ",137862,closed
3rd Space Bar And Lounge,"211 Clapham Rd SW9 0QH, UK",46492,closed
43 South Molton,43 South Molton Street; Mayfair; W1K 5RS,4322,closed
491 Gallery,"491 Grove Green Road, Leytonstone",28414,closed
54 Mile End,438 Mile End Road; Bow; E1 4PE,9077,closed
5ifty 4our,54 Farringdon Road; Clerkenwell; EC1R 3BL,19415,closed
6ft Anda,42-44 Kingsland Road; Shoreditch; E2 8DA,3714,closed
71 Shacklewell Lane,71 Shacklewell Lane; Dalston; E8 2EB,15398,closed
8 Club,1 Dysart Street; Moorgate; EC2A 2BX,27382,closed
86,"86 Fulham Road, SW3 6HR",50323,closed
A10,267 Kingsland Road; Hoxton; E2 8AS,5050,closed
AAA,"11-13 Kensington High Street, W8 5NP",38879,closed
Abacus,24 Cornhill; The City; EC3V 3ND,4551,closed
Adam Street Private Members Club,"9 Adam Street, WC2N 6AA",29119,closed
Affinity Bar,"247 Broadway, Bexleyheath, DA6 8DB",71013,closed
AKA Bar,18 West Central Street; Covent Garden; WC1A 1JJ,730,closed
Albannach Bar & Restaurant,"66 Trafalgar Square, St. James's, WC2N 5DS",29127,closed
Albert & Pearl,181 Upper Street; Islington; N1 1RQ,14649,closed
Alchemist Bar,"225 St John’s Hill, Battersea, SW11 1TH",21327,closed
Alhambra,33-35 Commercial Road; Whitechapel; E1 1LB,1464,closed
Alibi Room,"9 Park Walk, Chelsea",22918,closed
The Alibi,91 Kingsland High Street; Dalston; E8 2PB,27608,closed
Amber Bar Soho,6 Poland Street; Soho; W1F 8PS,6153,closed
Amika,65 High Street Kensington; Kensington; W8 5ED,22310,closed
Amika Mayfair,"43 South Molton Street, Mayfair, W1K 5RS",82807,closed
Anam Bar,3 Chapel Market; Islington; N1 9EZ,6169,closed
Anam Bar,3 Chapel Market; Islington; N1 9EZ,4640,closed
Anaya,9 Swallow Street; Mayfair; W1B 4DE,38028,closed
Anda de Bridge,42-44 Kingsland Road; Shoreditch; E2 8DA,3524,closed
Anexo,63b Clerkenwell Road; Farringdon; EC1M 5PT,2096,closed
The Annexe,9 Brighton Terrace; Brixton; SW9 8DJ,4415,closed
Annie's Bar,180 Kentish Town Road ; NW5 2AE,21551,closed
Apartment 42,"Apartment 42 Fieldgate Street, E1 1ES",41869,closed
Apartment 58,"101 New Oxford Street, . WC1A 1DB",77498,closed
Apres,"31 Duke St, W1U 1LG",51649,closed
Apt Bar,10-15 Queen Victoria Street; EC4N 1TX,45134,closed
Arcadia London Bridge,51-53 Southwark St; Bridge; SE1 1RU,1736,closed
Arch 635,15 - 16 Lendal Terrace; Clapham Common; SW4 7UX,14794,closed
Arch One,1 Mepham Street; Waterloo; SE1 8RL,17897,closed
Area,77 High Street; Watford; WD17 1LN,4712,closed
Area,67 Albert Embankment; Vauxhall; SE1 7TP,9567,closed
Art Bar,87-89 Walton Street; Chelsea; SW3 2HP,9689,closed
The Artesian Well,693 Wandsworth Road; Clapham; SW8 3JF,3138,closed
Arts Club East,"The Tea Building, 1st floor, 64 Shoreditch High St, E1 6JJ",116480,closed
Astor,20 Glasshouse Street; Piccadilly Circus; W1B 5DJ,3755,closed
Astoria,157 Charing Cross Rd; Soho; WC2H 0EW,1040,closed
Atlantis Bar,"15 Atlantic Road, Brixton, SW9 8HX",77744,closed
Attico Arts Center,"First Floor, 101 High Street, Watford, WD17 2DQ",121886,closed
Avalon,141-143 Shoreditch High Street; Shoreditch; EC1 6JE,25327,closed
Babalou,The Crypt; St Matthews Church; Brixton Hill; SW2 1JF,4314,closed
Babble.jar,176 Stoke Newington High Street; Stoke Newington; N16 7JL,68120,closed
The Baby Bathhouse,125 Church Street; Stoke Newington; N16 9ES,45471,closed
Bacchus,2 Union Street; Kingston Upon Thames; Greater KT1 1RP,10065,closed
Ballie Ballerson,"79 Stoke Newington Road, N16 8AD",129286,closed
Bar 2012,194 Brick Lane; Bethnal Green; E1 6SA,15044,closed
Bar 23,"23 Stoke Newington Road, N16 8BJ",14982,closed
Bar 242,242 Blackfriars Rd; Southwark; SE1 9UF,1846,closed
Bar 366,"366 Garratt Lane, Earlsfield, SW18 4ES",63892,closed
Bar 38,30-33 Minories; Aldgate; EC3N 1PD,5403,closed
Bar 54,54 Commercial St; Aldgate; E1 6LT,3279,closed
Bar 57,"57 Greenwich High Rd, SE10 8JL",37412,closed
Bar 77,77 Gloucester Road; South Kensington; SW7 4SS,10792,closed
Bar Common,"323 Old St, EC1V 9LE",59276,closed
Bar Music Hall,134-146 Curtain Road; Shoreditch; EC2A,3606,closed
Bar Rumba,36 Shaftesbury Avenue; Soho; W1D 7EP,745,closed
Bar Sequence,43 Essex Road; Islington; N1 2SF,20282,closed
Bar Sia,105-109 The Broadway; Wimbledon; SW19 1QG,9082,closed
Bar Solo,"20 Inverness Street, UK, NW1 7HJ",42710,closed
Bar Vinyl,6 Inverness Street; Camden Town; NW1 7HJ,6455,closed
Baraza,561 Garratt Lane; Earlsfield; SW18 4SR,20209,closed
Barcode,Arch 69; Albert Embankment; Vauxhall; SE11 5AW,55266,closed
Barfly,49 Chalk Farm Road; Camden Town; NW1 8AN,1041,closed
The Basement 217,"217 City Rd, EC1V 1JN",145628,closed
Bash Studios,65-71 Scrutton Street,17180,closed
The Basket,149 Willesden High Rd; Willesden; NW10 2SJ,3590,closed
The Bathhouse,7-8 Bishopsgate Churchyard; Broadgate; EC2M 3TJ,19135,closed
Beauberry House,Gallery Road; Dulwich Village; SE21 7AB,8435,closed
Bed Bar,310 Portobello Road; Kensal Town; W10 5TA; United Kingdon,2449,closed
Bedroom Bar,62-68 Rivington Street; Shoreditch; EC2A 3AY,11879,closed
Bells Of Shoredich,"48 Kingsland Road, E2 8AA",84652,closed
Below 54,54-56 Great Eastern Street; Broadgate; EC2A 3QR,1003,closed
BG's Nite Club,71 Shacklewell Lane; Dalston; E8 4BD,18073,closed
